Diagnosis,GroupCount,mean_Cepstrum_Pitch,mean_S1_S1_interval,mean_Relative_percentage_error
AD,13,0.938653846153846,0.960871870380353,8.78585034287862
AS,8,0.72275,0.789460502752534,20.806726666492
Benign,114,0.878701754385965,0.902609237924281,10.1665197641976
CAD,219,0.844783105022831,0.858422029908579,11.8075962628714
MPC,80,0.85381875,0.874186168279015,12.4329660281591
MR,12,0.7855,0.766541191125037,9.21179701152207
MVP,126,0.90225,0.929243853464757,10.1734107976448
Normal,2295,0.800884531590413,0.806409107077858,6.43205294346282
